PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,IsAdult,FamSize,hasNanny,TicketLetter,TicketNumber,CabinLet,CabinNum
98,1.0,1,1,23.0,0,1,63.3583,C,Mr,1,2,0,PC,17759,D,11
99,1.0,2,0,34.0,0,1,23.0,S,Mrs,1,2,0,No,231919,N,-1
100,0.0,2,1,34.0,1,0,26.0,S,Mr,1,2,0,No,244367,N,-1
101,0.0,3,0,28.0,0,0,7.8958,S,Mrs,1,1,0,No,349245,N,-1
102,0.0,3,1,35.5,0,0,7.8958,S,Mr,1,1,0,No,349215,N,-1
103,0.0,1,1,21.0,0,1,77.2875,S,Mr,1,2,0,No,35281,D,26
104,0.0,3,1,33.0,0,0,8.6542,S,Mr,1,1,0,No,7540,N,-1
105,0.0,3,1,37.0,2,0,7.925,S,Mr,1,3,0,No,3101276,N,-1
106,0.0,3,1,28.0,0,0,7.8958,S,Mr,1,1,0,No,349207,N,-1
107,1.0,3,0,21.0,0,0,7.65,S,Mrs,1,1,0,No,343120,N,-1
108,1.0,3,1,35.5,0,0,7.775,S,Mr,1,1,0,No,312991,N,-1
109,0.0,3,1,38.0,0,0,7.8958,S,Mr,1,1,0,No,349249,N,-1
110,1.0,3,0,12.0,1,0,24.15,Q,Miss,0,2,0,No,371110,N,-1
111,0.0,1,1,47.0,0,0,52.0,S,Mr,1,1,0,No,110465,C,110
112,0.0,3,0,14.5,1,0,14.4542,C,Miss,0,2,0,No,2665,N,-1
113,0.0,3,1,22.0,0,0,8.05,S,Mr,1,1,0,No,324669,N,-1
114,0.0,3,0,20.0,1,0,9.825,S,Miss,0,2,0,No,4136,N,-1
115,0.0,3,0,17.0,0,0,14.4583,C,Miss,0,1,1,No,2627,N,-1
116,0.0,3,1,21.0,0,0,7.925,S,Mr,1,1,0,STON/O,3101294,N,-1
117,0.0,3,1,70.5,0,0,7.75,Q,Mr,1,1,0,No,370369,N,-1
118,0.0,2,1,29.0,1,0,21.0,S,Mr,1,2,0,No,11668,N,-1
119,0.0,1,1,24.0,0,1,247.5208,C,Mr,1,2,0,PC,17558,B,59
120,0.0,3,0,2.0,4,2,31.275,S,Miss,0,7,0,No,347082,N,-1
121,0.0,2,1,21.0,2,0,73.5,S,Mr,1,3,0,S.O.C.,14879,N,-1
122,0.0,3,1,35.5,0,0,8.05,S,Mr,1,1,0,A4.,54510,N,-1
123,0.0,2,1,32.5,1,0,30.0708,C,Mr,1,2,0,No,237736,N,-1
124,1.0,2,0,32.5,0,0,13.0,S,Mrs,1,1,0,No,27267,E,101
125,0.0,1,1,54.0,0,1,77.2875,S,Mr,1,2,0,No,35281,D,26
126,1.0,3,1,12.0,1,0,11.2417,C,Master,0,2,0,No,2651,N,-1
127,0.0,3,1,35.5,0,0,7.75,Q,Mr,1,1,0,No,370372,N,-1
128,1.0,3,1,24.0,0,0,7.1417,S,Mr,1,1,0,C,17369,N,-1
129,1.0,3,0,12.0,1,1,22.3583,C,Miss,0,3,0,No,2668,F,0
130,0.0,3,1,45.0,0,0,6.975,S,Mr,1,1,0,No,347061,N,-1
131,0.0,3,1,33.0,0,0,7.8958,C,Mr,1,1,0,No,349241,N,-1
132,0.0,3,1,20.0,0,0,7.05,S,Master,0,1,1,SOTON/O.Q.,3101307,N,-1
133,0.0,3,0,47.0,1,0,14.5,S,Mrs,1,2,0,A/5.,3337,N,-1
134,1.0,2,0,29.0,1,0,26.0,S,Mrs,1,2,0,No,228414,N,-1
135,0.0,2,1,25.0,0,0,13.0,S,Mr,1,1,0,C.A.,29178,N,-1
136,0.0,2,1,23.0,0,0,15.0458,C,Mr,1,1,0,SC/PARIS,2133,N,-1
137,1.0,1,0,19.0,0,2,26.2833,S,Miss,0,3,0,No,11752,D,47
138,0.0,1,1,37.0,1,0,53.1,S,Mr,1,2,0,No,113803,C,123
139,0.0,3,1,16.0,0,0,9.2167,S,Master,0,1,1,No,7534,N,-1
140,0.0,1,1,24.0,0,0,79.2,C,Mr,1,1,0,PC,17593,B,86
141,0.0,3,0,35.0,0,2,15.2458,C,Mrs,1,3,0,No,2678,N,-1
142,1.0,3,0,22.0,0,0,7.75,S,Mrs,1,1,0,No,347081,N,-1
143,1.0,3,0,24.0,1,0,15.85,S,Mrs,1,2,0,STON/O2.,3101279,N,-1
144,0.0,3,1,19.0,0,0,6.75,Q,Master,0,1,1,No,365222,N,-1
145,0.0,2,1,18.0,0,0,11.5,S,Master,0,1,1,No,231945,N,-1
146,0.0,2,1,19.0,1,1,36.75,S,Master,0,3,0,C.A.,33112,N,-1
147,1.0,3,1,27.0,0,0,7.7958,S,Mr,1,1,0,No,350043,N,-1
148,0.0,3,0,9.0,2,2,34.375,S,Miss,0,5,0,W./C.,6608,N,-1
149,0.0,2,1,36.5,0,2,26.0,S,Mr,1,3,0,No,230080,F,2
150,0.0,2,1,42.0,0,0,13.0,S,Mr,1,1,0,No,244310,N,-1
151,0.0,2,1,51.0,0,0,12.525,S,Mr,1,1,0,S.O.P.,1166,N,-1
152,1.0,1,0,22.0,1,0,66.6,S,Mrs,1,2,0,No,113776,C,2
153,0.0,3,1,55.5,0,0,8.05,S,Mr,1,1,0,A.5.,11206,N,-1
154,0.0,3,1,40.5,0,2,14.5,S,Mr,1,3,0,A/5.,851,N,-1
155,0.0,3,1,35.5,0,0,7.3125,S,Mr,1,1,0,Fa,265302,N,-1
156,0.0,1,1,51.0,0,1,61.3792,C,Mr,1,2,0,PC,17597,N,-1
157,1.0,3,0,16.0,0,0,7.7333,Q,Miss,0,1,1,No,35851,N,-1
158,0.0,3,1,30.0,0,0,8.05,S,Mr,1,1,0,SOTON/OQ,392090,N,-1
159,0.0,3,1,35.5,0,0,8.6625,S,Mr,1,1,0,No,315037,N,-1
160,0.0,3,1,13.5,8,2,69.55,S,Master,0,11,0,CA.,2343,N,-1
161,0.0,3,1,44.0,0,1,16.1,S,Mr,1,2,0,No,371362,N,-1
162,1.0,2,0,40.0,0,0,15.75,S,Mrs,1,1,0,C.A.,33595,N,-1
163,0.0,3,1,26.0,0,0,7.775,S,Mr,1,1,0,No,347068,N,-1
164,0.0,3,1,17.0,0,0,8.6625,S,Master,0,1,1,No,315093,N,-1
165,0.0,3,1,1.0,4,1,39.6875,S,Master,0,6,0,No,3101295,N,-1
166,1.0,3,1,9.0,0,2,20.525,S,Master,0,3,0,No,363291,N,-1
167,1.0,1,0,35.0,0,1,55.0,S,Mrs,1,2,0,No,113505,E,33
168,0.0,3,0,45.0,1,4,27.9,S,Mrs,1,6,0,No,347088,N,-1
169,0.0,1,1,35.5,0,0,25.925,S,Mr,1,1,0,PC,17318,N,-1
170,0.0,3,1,28.0,0,0,56.4958,S,Mr,1,1,0,No,1601,N,-1
171,0.0,1,1,61.0,0,0,33.5,S,Mr,1,1,0,No,111240,B,19
172,0.0,3,1,4.0,4,1,29.125,Q,Master,0,6,0,No,382652,N,-1
173,1.0,3,0,1.0,1,1,11.1333,S,Miss,0,3,0,No,347742,N,-1
174,0.0,3,1,21.0,0,0,7.925,S,Mr,1,1,0,STON/O,3101280,N,-1
175,0.0,1,1,56.0,0,0,30.6958,C,Mr,1,1,0,No,17764,A,7
176,0.0,3,1,18.0,1,1,7.8542,S,Master,0,3,0,No,350404,N,-1
177,0.0,3,1,13.5,3,1,25.4667,S,Master,0,5,0,No,4133,N,-1
178,0.0,1,0,50.0,0,0,28.7125,C,Mrs,1,1,0,PC,17595,C,49
179,0.0,2,1,30.0,0,0,13.0,S,Mr,1,1,0,No,250653,N,-1
180,0.0,3,1,36.0,0,0,1.0,S,Mr,1,1,0,No,LINE,N,-1
181,0.0,3,0,12.0,8,2,69.55,S,Miss,0,11,0,CA.,2343,N,-1
182,0.0,2,1,35.5,0,0,15.05,C,Mr,1,1,0,SC/PARIS,2131,N,-1
183,0.0,3,1,9.0,4,2,31.3875,S,Master,0,7,0,No,347077,N,-1
184,1.0,2,1,1.0,2,1,39.0,S,Master,0,4,0,No,230136,F,4
185,1.0,3,0,4.0,0,2,22.025,S,Miss,0,3,0,No,315153,N,-1
186,0.0,1,1,35.5,0,0,50.0,S,Mr,1,1,0,No,113767,A,32
187,1.0,3,0,35.0,1,0,15.5,Q,Mrs,1,2,0,No,370365,N,-1
188,1.0,1,1,45.0,0,0,26.55,S,Mr,1,1,0,No,111428,N,-1
189,0.0,3,1,40.0,1,1,15.5,Q,Mr,1,3,0,No,364849,N,-1
190,0.0,3,1,36.0,0,0,7.8958,S,Mr,1,1,0,No,349247,N,-1
191,1.0,2,0,32.0,0,0,13.0,S,Mrs,1,1,0,No,234604,N,-1
192,0.0,2,1,19.0,0,0,13.0,S,Master,0,1,1,No,28424,N,-1
193,1.0,3,0,19.0,1,0,7.8542,S,Miss,0,2,0,No,350046,N,-1
194,1.0,2,1,3.0,1,1,26.0,S,Master,0,3,0,No,230080,F,2
195,1.0,1,0,44.0,0,0,27.7208,C,Mrs,1,1,0,PC,17610,B,4
196,1.0,1,0,58.0,0,0,146.5208,C,Mrs,1,1,0,PC,17569,B,80
197,0.0,3,1,35.5,0,0,7.75,Q,Mr,1,1,0,No,368703,N,-1
198,0.0,3,1,42.0,0,1,8.4042,S,Mr,1,2,0,No,4579,N,-1
199,1.0,3,0,12.0,0,0,7.75,Q,Miss,0,1,1,No,370370,N,-1
200,0.0,2,0,24.0,0,0,13.0,S,Mrs,1,1,0,No,248747,N,-1
201,0.0,3,1,28.0,0,0,9.5,S,Mr,1,1,0,No,345770,N,-1
202,0.0,3,1,35.5,8,2,69.55,S,Mr,1,11,0,CA.,2343,N,-1
203,0.0,3,1,34.0,0,0,6.4958,S,Mr,1,1,0,No,3101264,N,-1
204,0.0,3,1,45.5,0,0,7.225,C,Mr,1,1,0,No,2628,N,-1
205,1.0,3,1,18.0,0,0,8.05,S,Master,0,1,1,A/5,3540,N,-1
206,0.0,3,0,2.0,0,1,10.4625,S,Miss,0,2,0,No,347054,G,6
207,0.0,3,1,32.0,1,0,15.85,S,Mr,1,2,0,No,3101278,N,-1
208,1.0,3,1,26.0,0,0,18.7875,C,Mr,1,1,0,No,2699,N,-1
209,1.0,3,0,16.0,0,0,7.75,Q,Miss,0,1,1,No,367231,N,-1
210,1.0,1,1,40.0,0,0,31.0,C,Mr,1,1,0,No,112277,A,31
211,0.0,3,1,24.0,0,0,7.05,S,Mr,1,1,0,SOTON/O.Q.,3101311,N,-1
212,1.0,2,0,35.0,0,0,21.0,S,Mrs,1,1,0,F.C.C.,13528,N,-1
213,0.0,3,1,22.0,0,0,7.25,S,Mr,1,1,0,A/5,21174,N,-1
214,0.0,2,1,30.0,0,0,13.0,S,Mr,1,1,0,No,250646,N,-1
215,0.0,3,1,35.5,1,0,7.75,Q,Mr,1,2,0,No,367229,N,-1
216,1.0,1,0,31.0,1,0,113.275,C,Mrs,1,2,0,No,35273,D,36
217,1.0,3,0,27.0,0,0,7.925,S,Mrs,1,1,0,STON/O2.,3101283,N,-1
218,0.0,2,1,42.0,1,0,27.0,S,Mr,1,2,0,No,243847,N,-1
219,1.0,1,0,32.0,0,0,76.2917,C,Mrs,1,1,0,No,11813,D,15
220,0.0,2,1,30.0,0,0,10.5,S,Mr,1,1,0,W/C,14208,N,-1
221,1.0,3,1,16.0,0,0,8.05,S,Master,0,1,1,SOTON/OQ,392089,N,-1
222,0.0,2,1,27.0,0,0,13.0,S,Mr,1,1,0,No,220367,N,-1
223,0.0,3,1,51.0,0,0,8.05,S,Mr,1,1,0,No,21440,N,-1
224,0.0,3,1,35.5,0,0,7.8958,S,Mr,1,1,0,No,349234,N,-1
225,1.0,1,1,38.0,1,0,90.0,S,Mr,1,2,0,No,19943,C,93
226,0.0,3,1,22.0,0,0,9.35,S,Mr,1,1,0,PP,4348,N,-1
227,1.0,2,1,19.0,0,0,10.5,S,Master,0,1,1,SW/PP,751,N,-1
228,0.0,3,1,20.5,0,0,7.25,S,Master,0,1,1,A/5,21173,N,-1
229,0.0,2,1,18.0,0,0,13.0,S,Master,0,1,1,No,236171,N,-1
230,0.0,3,0,12.0,3,1,25.4667,S,Miss,0,5,0,No,4133,N,-1
231,1.0,1,0,35.0,1,0,83.475,S,Mrs,1,2,0,No,36973,C,83
232,0.0,3,1,29.0,0,0,7.775,S,Mr,1,1,0,No,347067,N,-1
233,0.0,2,1,59.0,0,0,13.5,S,Mr,1,1,0,No,237442,N,-1
234,1.0,3,0,5.0,4,2,31.3875,S,Miss,0,7,0,No,347077,N,-1
235,0.0,2,1,24.0,0,0,10.5,S,Mr,1,1,0,C.A.,29566,N,-1
236,0.0,3,0,12.0,0,0,7.55,S,Miss,0,1,1,W./C.,6609,N,-1
237,0.0,2,1,44.0,1,0,26.0,S,Mr,1,2,0,No,26707,N,-1
238,1.0,2,0,8.0,0,2,26.25,S,Miss,0,3,0,C.A.,31921,N,-1
239,0.0,2,1,19.0,0,0,10.5,S,Master,0,1,1,No,28665,N,-1
240,0.0,2,1,33.0,0,0,12.275,S,Mr,1,1,0,SCO/W,1585,N,-1
241,0.0,3,0,12.0,1,0,14.4542,C,Miss,0,2,0,No,2665,N,-1
242,1.0,3,0,12.0,1,0,15.5,Q,Miss,0,2,0,No,367230,N,-1
243,0.0,2,1,29.0,0,0,10.5,S,Mr,1,1,0,W./C.,14263,N,-1
244,0.0,3,1,22.0,0,0,7.125,S,Mr,1,1,0,STON/O,3101275,N,-1
245,0.0,3,1,30.0,0,0,7.225,C,Mr,1,1,0,No,2694,N,-1
246,0.0,1,1,44.0,2,0,90.0,Q,Mr,1,3,0,No,19928,C,78
247,0.0,3,0,25.0,0,0,7.775,S,Mrs,1,1,0,No,347071,N,-1
248,1.0,2,0,24.0,0,2,14.5,S,Mrs,1,3,0,No,250649,N,-1
249,1.0,1,1,37.0,1,1,52.5542,S,Mr,1,3,0,No,11751,D,35
250,0.0,2,1,54.0,1,0,26.0,S,Mr,1,2,0,No,244252,N,-1
251,0.0,3,1,35.5,0,0,7.25,S,Mr,1,1,0,No,362316,N,-1
252,0.0,3,0,29.0,1,1,10.4625,S,Mrs,1,3,0,No,347054,G,6
253,0.0,1,1,62.0,0,0,26.55,S,Mr,1,1,0,No,113514,C,87
254,0.0,3,1,30.0,1,0,16.1,S,Mr,1,2,0,A/5.,3336,N,-1
255,0.0,3,0,41.0,0,2,20.2125,S,Mrs,1,3,0,No,370129,N,-1
256,1.0,3,0,29.0,0,2,15.2458,C,Mrs,1,3,0,No,2650,N,-1
257,1.0,1,0,35.0,0,0,79.2,C,Mrs,1,1,0,PC,17585,N,-1
258,1.0,1,0,30.0,0,0,86.5,S,Mrs,1,1,0,No,110152,B,77
259,1.0,1,0,35.0,0,0,512.3292,C,Mrs,1,1,0,PC,17755,N,-1
260,1.0,2,0,50.0,0,1,26.0,S,Mrs,1,2,0,No,230433,N,-1
261,0.0,3,1,35.5,0,0,7.75,Q,Mr,1,1,0,No,384461,N,-1
262,1.0,3,1,3.0,4,2,31.3875,S,Master,0,7,0,No,347077,N,-1
263,0.0,1,1,52.0,1,1,79.65,S,Mr,1,3,0,No,110413,E,67
264,0.0,1,1,40.0,0,0,1.0,S,Mr,1,1,0,No,112059,B,94
265,0.0,3,0,12.0,0,0,7.75,Q,Miss,0,1,1,No,382649,N,-1
266,0.0,2,1,36.0,0,0,10.5,S,Mr,1,1,0,C.A.,17248,N,-1
267,0.0,3,1,16.0,4,1,39.6875,S,Master,0,6,0,No,3101295,N,-1
268,1.0,3,1,25.0,1,0,7.775,S,Mr,1,2,0,No,347083,N,-1
269,1.0,1,0,58.0,0,1,153.4625,S,Mrs,1,2,0,PC,17582,C,125
270,1.0,1,0,35.0,0,0,135.6333,S,Mrs,1,1,0,PC,17760,C,99
271,0.0,1,1,35.5,0,0,31.0,S,Mr,1,1,0,No,113798,N,-1
272,1.0,3,1,25.0,0,0,1.0,S,Mr,1,1,0,No,LINE,N,-1
273,1.0,2,0,41.0,0,1,19.5,S,Mrs,1,2,0,No,250644,N,-1
274,0.0,1,1,37.0,0,1,29.7,C,Mr,1,2,0,PC,17596,C,118
275,1.0,3,0,12.0,0,0,7.75,Q,Miss,0,1,1,No,370375,N,-1
276,1.0,1,0,63.0,1,0,77.9583,S,Mrs,1,2,0,No,13502,D,7
277,0.0,3,0,45.0,0,0,7.75,S,Mrs,1,1,0,No,347073,N,-1
278,0.0,2,1,35.5,0,0,1.0,S,Mr,1,1,0,No,239853,N,-1
279,0.0,3,1,7.0,4,1,29.125,Q,Master,0,6,0,No,382652,N,-1
280,1.0,3,0,35.0,1,1,20.25,S,Mrs,1,3,0,C.A.,2673,N,-1
281,0.0,3,1,65.0,0,0,7.75,Q,Mr,1,1,0,No,336439,N,-1
282,0.0,3,1,28.0,0,0,7.8542,S,Mr,1,1,0,No,347464,N,-1
283,0.0,3,1,16.0,0,0,9.5,S,Master,0,1,1,No,345778,N,-1
284,1.0,3,1,19.0,0,0,8.05,S,Master,0,1,1,A/5.,10482,N,-1
285,0.0,1,1,35.5,0,0,26.0,S,Mr,1,1,0,No,113056,A,19
286,0.0,3,1,33.0,0,0,8.6625,C,Mr,1,1,0,No,349239,N,-1
287,1.0,3,1,30.0,0,0,9.5,S,Mr,1,1,0,No,345774,N,-1
288,0.0,3,1,22.0,0,0,7.8958,S,Mr,1,1,0,No,349206,N,-1
289,1.0,2,1,42.0,0,0,13.0,S,Mr,1,1,0,No,237798,N,-1
290,1.0,3,0,22.0,0,0,7.75,Q,Mrs,1,1,0,No,370373,N,-1
291,1.0,1,0,26.0,0,0,78.85,S,Mrs,1,1,0,No,19877,N,-1
292,1.0,1,0,19.0,1,0,91.0792,C,Miss,0,2,0,No,11967,B,49
293,0.0,2,1,36.0,0,0,12.875,C,Mr,1,1,0,SC/Paris,2163,D,0
294,0.0,3,0,24.0,0,0,8.85,S,Mrs,1,1,0,No,349236,N,-1
295,0.0,3,1,24.0,0,0,7.8958,S,Mr,1,1,0,No,349233,N,-1
296,0.0,1,1,35.5,0,0,27.7208,C,Mr,1,1,0,PC,17612,N,-1
297,0.0,3,1,23.5,0,0,7.2292,C,Mr,1,1,0,No,2693,N,-1
298,0.0,1,0,2.0,1,2,151.55,S,Miss,0,4,0,No,113781,C,24
299,1.0,1,1,35.5,0,0,30.5,S,Mr,1,1,0,No,19988,C,106
300,1.0,1,0,50.0,0,1,247.5208,C,Mrs,1,2,0,PC,17558,B,59
301,1.0,3,0,12.0,0,0,7.75,Q,Miss,0,1,1,No,9234,N,-1
302,1.0,3,1,35.5,2,0,23.25,Q,Mr,1,3,0,No,367226,N,-1
303,0.0,3,1,19.0,0,0,1.0,S,Master,0,1,1,No,LINE,N,-1
304,1.0,2,0,12.0,0,0,12.35,Q,Miss,0,1,1,No,226593,E,101
305,0.0,3,1,35.5,0,0,8.05,S,Mr,1,1,0,A/5,2466,N,-1
306,1.0,1,1,0.92,1,2,151.55,S,Master,0,4,0,No,113781,C,24
